EntityKey,AccountKey,IdentifierValue,IdentifierValueSSN,AddressKey,AccountPeriodKey,CaseID
1454064,6725681,224775252,224-77-5252,6618399,5627147,3519826
1454065,6725680,471534802,471-53-4802,6452981,5627148,3519827
1454066,6725679,914081705,914-08-1705,6453650,5627149,3519828
1454067,6725678,371951598,371-95-1598,6618910,5627150,3519829
1454068,6725677,524484621,524-48-4621,6618350,5627151,3519830
1454069,6725676,234071488,234-07-1488,6452808,5627152,3519831
1454070,6725675,427000370,427-00-0370,6619774,5627153,3519832
1454071,6725674,179958472,179-95-8472,6618281,5627154,3519833
1454072,6725673,326341825,326-34-1825,6618604,5627155,3519834
1454073,6725672,128915828,128-91-5828,6453059,5627156,3519835
1454074,6725671,615719431,615-71-9431,6452979,5627157,3519836
1454075,6725670,568401698,568-40-1698,6618899,5627158,3519837
1454076,6725669,695869309,695-86-9309,6618180,5627159,3519838
1454077,6725668,165733093,165-73-3093,6618589,5627160,3519839
1454078,6725667,251349329,251-34-9329,6452666,5627161,3519840
1454079,6725666,391951446,391-95-1446,6452946,5627162,3519841
1454080,6725665,789512005,789-51-2005,6618320,5627163,3519842
1454081,6725664,175175405,175-17-5405,6452722,5627164,3519843
1454082,6725663,536562435,536-56-2435,6619006,5627165,3519844
1454083,6725662,883349022,883-34-9022,6618714,5627166,3519845
1454084,6725661,498261955,498-26-1955,6618212,5627167,3519846
1454085,6725660,183662517,183-66-2517,6452756,5627168,3519847
1454086,6725659,136257529,136-25-7529,6620263,5627169,3519848
1454087,6725658,525168025,525-16-8025,6452927,5627170,3519849
1454088,6725657,286726101,286-72-6101,6619391,5627171,3519850
1454089,6725656,325930839,325-93-0839,6452880,5627172,3519851
1454090,6725655,474621527,474-62-1527,6618331,5627173,3519852
1454091,6725654,776964373,776-96-4373,6618971,5627174,3519853
1454092,6725653,245007866,245-00-7866,6618139,5627175,3519854
1454093,6725652,854505474,854-50-5474,6452764,5627176,3519855
1454094,6725651,695054492,695-05-4492,6618669,5627177,3519856
1454095,6725650,869604881,869-60-4881,6453970,5627178,3519857
1454096,6725649,239177424,239-17-7424,6452942,5627179,3519858
1454097,6725648,671103551,671-10-3551,6453156,5627180,3519859
1454098,6725647,654072257,654-07-2257,6618308,5627181,3519860
1454099,6725646,619676160,619-67-6160,6618171,5627182,3519861
1454100,6725645,816971050,816-97-1050,6618362,5627183,3519862
1454101,6725644,678420635,678-42-0635,6618195,5627184,3519863
1454102,6725643,187559559,187-55-9559,6618266,5627185,3519864
1454103,6725642,948352717,948-35-2717,6619338,5627186,3519865
1454104,6725641,866372935,866-37-2935,6452775,5627187,3519866
1454105,6725640,632468190,632-46-8190,6618169,5627188,3519867
1454106,6725639,925487368,925-48-7368,6453132,5627189,3519868
1454107,6725638,352877421,352-87-7421,6618287,5627190,3519869
1454108,6725637,548916410,548-91-6410,6452743,5627191,3519870
1454109,6725636,724524074,724-52-4074,6618470,5627192,3519871
1454110,6725635,998409144,998-40-9144,6619065,5627193,3519872
1454111,6725634,258688145,258-68-8145,6619212,5627194,3519873
1454112,6725633,628194396,628-19-4396,6453036,5627195,3519874
1454113,6725632,255904375,255-90-4375,6618864,5627196,3519875
1454114,6725631,872084414,872-08-4414,6618256,5627197,3519876
1454115,6725630,445225339,445-22-5339,6618071,5627198,3519877
1454116,6725629,982858913,982-85-8913,6453016,5627199,3519878
1454117,6725628,223945851,223-94-5851,6618216,5627200,3519879
1454118,6725627,179986182,179-98-6182,6452718,5627201,3519880
1454119,6725626,764678400,764-67-8400,6618720,5627202,3519881
1454120,6725625,312730117,312-73-0117,6618327,5627203,3519882
1454121,6725624,656738534,656-73-8534,6452938,5627204,3519883
1454122,6725623,134650957,134-65-0957,6618344,5627205,3519884
1454123,6725622,923077686,923-07-7686,6620199,5627206,3519885
1454124,6725621,553684981,553-68-4981,6618395,5627207,3519886
1454125,6725620,649762558,649-76-2558,6619264,5627208,3519887
1454126,6725619,155632846,155-63-2846,6618155,5627209,3519888
1454127,6725618,239850996,239-85-0996,6619047,5627210,3519889
1454128,6725617,962823407,962-82-3407,6453045,5627211,3519890
1454129,6725616,572434151,572-43-4151,6618272,5627212,3519891
1454130,6725615,234824044,234-82-4044,6619950,5627213,3519892
1454131,6725614,776425660,776-42-5660,6452771,5627214,3519893
1454132,6725613,377340416,377-34-0416,6618679,5627215,3519894
1454133,6725612,229133726,229-13-3726,6452757,5627216,3519895
1454134,6725611,497726001,497-72-6001,6618262,5627217,3519896
1454135,6725610,956144757,956-14-4757,6618229,5627218,3519897
1454136,6725609,951306760,951-30-6760,6618104,5627219,3519898
1454137,6725608,796602715,796-60-2715,6618733,5627220,3519899
1454138,6725607,236619500,236-61-9500,6618755,5627221,3519900
1454139,6725606,317193648,317-19-3648,6618836,5627222,3519901
1454140,6725605,899564614,899-56-4614,6618348,5627223,3519902
1454141,6725604,485934376,485-93-4376,6618513,5627224,3519903
1454142,6725603,569971836,569-97-1836,6618134,5627225,3519904
1454143,6725602,665337933,665-33-7933,6452689,5627226,3519905
1454144,6725601,352941670,352-94-1670,6618455,5627227,3519906
1454145,6725600,775560386,775-56-0386,6620411,5627228,3519907
1454146,6725599,247427710,247-42-7710,6618173,5627229,3519908
1454147,6725598,744866518,744-86-6518,6618424,5627230,3519909
1454148,6725597,137473556,137-47-3556,6618095,5627231,3519910
1454149,6725596,591972678,591-97-2678,6620016,5627232,3519911
1454150,6725595,465961451,465-96-1451,6618170,5627233,3519912
1454151,6725594,982333256,982-33-3256,6452925,5627234,3519913
1454152,6725593,136305959,136-30-5959,6452977,5627235,3519914
1454153,6725592,317363993,317-36-3993,6618654,5627236,3519915
1454154,6725591,165116577,165-11-6577,6453633,5627237,3519916
1454155,6725590,212739544,212-73-9544,6619244,5627238,3519917
1454156,6725589,276690674,276-69-0674,6618391,5627239,3519918
1454157,6725588,227578255,227-57-8255,6618084,5627240,3519919
1454158,6725587,193577271,193-57-7271,6452709,5627241,3519920
1454159,6725586,872437507,872-43-7507,6618518,5627242,3519921
1454160,6725585,547081841,547-08-1841,6618609,5627243,3519922
1454161,6725584,351787179,351-78-7179,6619438,5627244,3519923
1454162,6725583,811728503,811-72-8503,6618050,5627245,3519924
1454163,6725582,566828682,566-82-8682,6618504,5627246,3519925
1454164,6725581,796956149,796-95-6149,6620081,5627247,3519926
1454165,6725580,221540682,221-54-0682,6452826,5627248,3519927
1454166,6725579,611710943,611-71-0943,6618878,5627249,3519928
1454167,6725578,584671383,584-67-1383,6618382,5627250,3519929
1454168,6725577,159988180,159-98-8180,6452941,5627251,3519930
1454169,6725576,119948891,119-94-8891,6618037,5627252,3519931
1454170,6725575,978059771,978-05-9771,6618036,5627253,3519932
1454171,6725574,294931901,294-93-1901,6619599,5627254,3519933
1454172,6725573,512175176,512-17-5176,6453180,5627255,3519934
1454173,6725572,388300499,388-30-0499,6619255,5627256,3519935
1454174,6725571,976308077,976-30-8077,6618196,5627257,3519936
1454175,6725570,481964430,481-96-4430,6452912,5627258,3519937
1454176,6725569,934244031,934-24-4031,6618462,5627259,3519938
1454177,6725568,546404747,546-40-4747,6619431,5627260,3519939
1454178,6725567,697604111,697-60-4111,6618607,5627261,3519940
1454179,6725566,169011949,169-01-1949,6453575,5627262,3519941
1454180,6725565,814353454,814-35-3454,6618008,5627263,3519942
1454181,6725564,467469389,467-46-9389,6618123,5627264,3519943
1454182,6725563,454337895,454-33-7895,6620539,5627265,3519944
1454183,6725562,443342694,443-34-2694,6618124,5627266,3519945
1454184,6725561,724670935,724-67-0935,6452683,5627267,3519946
1454185,6725560,549950377,549-95-0377,6618361,5627268,3519947
1454186,6725559,333208648,333-20-8648,6618153,5627269,3519948
1454187,6725558,989434726,989-43-4726,6619435,5627270,3519949
1454188,6725557,155543371,155-54-3371,6453216,5627271,3519950
1454189,6725556,467207738,467-20-7738,6618205,5627272,3519951
1454190,6725555,228268075,228-26-8075,6452874,5627273,3519952
1454191,6725554,774113420,774-11-3420,6618214,5627274,3519953
1454192,6725553,528891136,528-89-1136,6618702,5627275,3519954
1454193,6725552,119120061,119-12-0061,6620326,5627276,3519955
1454194,6725551,329151363,329-15-1363,6618938,5627277,3519956
1454195,6725550,612253724,612-25-3724,6618208,5627278,3519957
1454196,6725549,297299516,297-29-9516,6618103,5627279,3519958
1454197,6725548,629684427,629-68-4427,6618244,5627280,3519959
1454198,6725547,316221153,316-22-1153,6618310,5627281,3519960
1454199,6725546,772890227,772-89-0227,6619239,5627282,3519961
1454200,6725545,343012215,343-01-2215,6454645,5627283,3519962
1454201,6725544,999056596,999-05-6596,6618057,5627284,3519963
1454202,6725543,287260759,287-26-0759,6619048,5627285,3519964
1454203,6725542,852837106,852-83-7106,6452893,5627286,3519965
1454204,6725541,467712971,467-71-2971,6618482,5627287,3519966
1454205,6725540,322787504,322-78-7504,6453444,5627288,3519967
1454206,6725539,957030902,957-03-0902,6618824,5627289,3519968
1454207,6725538,359458418,359-45-8418,6618329,5627290,3519969
1454208,6725537,162592794,162-59-2794,6617993,5627291,3519970
1454209,6725536,813686204,813-68-6204,6619112,5627292,3519971
1454210,6725535,421394695,421-39-4695,6618838,5627293,3519972
1454211,6725534,189411545,189-41-1545,6618273,5627294,3519973
1454212,6725533,246359697,246-35-9697,6618279,5627295,3519974
1454213,6725532,376817256,376-81-7256,6618336,5627296,3519975
1454214,6725531,623129155,623-12-9155,6618004,5627297,3519976
1454215,6725530,333801247,333-80-1247,6618540,5627298,3519977
1454216,6725529,769404887,769-40-4887,6618240,5627299,3519978
1454217,6725528,869271301,869-27-1301,6618295,5627300,3519979
1454218,6725527,768619894,768-61-9894,6452663,5627301,3519980
1454219,6725526,354886584,354-88-6584,6452708,5627302,3519981
1454220,6725525,553667694,553-66-7694,6452710,5627303,3519982
1454221,6725524,386559191,386-55-9191,6619989,5627304,3519983
1454222,6725523,912999764,912-99-9764,6452730,5627305,3519984
1454223,6725522,967481245,967-48-1245,6618209,5627306,3519985
1454224,6725521,732986804,732-98-6804,6618549,5627307,3519986
1454225,6725520,358188440,358-18-8440,6618035,5627308,3519987
1454226,6725519,611256203,611-25-6203,6453116,5627309,3519988
1454227,6725518,463049234,463-04-9234,6452794,5627310,3519989
1454228,6725517,437333706,437-33-3706,6619980,5627311,3519990
1454229,6725516,174393274,174-39-3274,6618116,5627312,3519991
1454230,6725515,496882227,496-88-2227,6618417,5627313,3519992
1454231,6725514,142952361,142-95-2361,6618268,5627314,3519993
1454232,6725513,261735727,261-73-5727,6617979,5627315,3519994
1454233,6725512,357446530,357-44-6530,6619194,5627316,3519995
1454234,6725511,649707168,649-70-7168,6452813,5627317,3519996
1454235,6725510,628211829,628-21-1829,6619009,5627318,3519997
1454236,6725509,327607276,327-60-7276,6453115,5627319,3519998
1454237,6725508,952204841,952-20-4841,6453760,5627320,3519999
1454238,6725507,519203031,519-20-3031,6618323,5627321,3520000
1454239,6725506,366887755,366-88-7755,6618464,5627322,3520001
1454240,6725505,219368497,219-36-8497,6618185,5627323,3520002
1454241,6725504,512778194,512-77-8194,6452767,5627324,3520003
1454242,6725503,115920707,115-92-0707,6619396,5627325,3520004
1454243,6725502,374570115,374-57-0115,6453024,5627326,3520005
1454244,6725501,147912888,147-91-2888,6453081,5627327,3520006
1454245,6725500,768121937,768-12-1937,6620257,5627328,3520007
1454246,6725499,569968977,569-96-8977,6618110,5627329,3520008
1454247,6725498,876284930,876-28-4930,6618776,5627330,3520009
1454248,6725497,941458910,941-45-8910,6619059,5627331,3520010
1454249,6725496,399227682,399-22-7682,6452770,5627332,3520011
1454250,6725495,777293785,777-29-3785,6452776,5627333,3520012
1454251,6725494,268459884,268-45-9884,6618022,5627334,3520013
1454252,6725493,769930587,769-93-0587,6618638,5627335,3520014
1454253,6725492,718994270,718-99-4270,6617960,5627336,3520015
1454254,6725491,154898960,154-89-8960,6618347,5627337,3520016
1454255,6725490,343145602,343-14-5602,6452881,5627338,3520017
1454256,6725489,234999791,234-99-9791,6618392,5627339,3520018
1454257,6725488,467268034,467-26-8034,6452833,5627340,3520019
1454258,6725487,844645855,844-64-5855,6619460,5627341,3520020
1454259,6725486,664713176,664-71-3176,6619041,5627342,3520021
1454260,6725485,584432477,584-43-2477,6453055,5627343,3520022
1454261,6725484,984171171,984-17-1171,6453015,5627344,3520023
1454262,6725483,563182480,563-18-2480,6618097,5627345,3520024
1454263,6725482,275150169,275-15-0169,6453106,5627346,3520025
1454264,6725481,232384427,232-38-4427,6618274,5627347,3520026
1454265,6725480,387445940,387-44-5940,6619816,5627348,3520027
1454266,6725479,126046749,126-04-6749,6618640,5627349,3520028
1454267,6725478,343927700,343-92-7700,6620015,5627350,3520029
1454268,6725477,563808385,563-80-8385,6619087,5627351,3520030
1454269,6725476,681870543,681-87-0543,6618197,5627352,3520031
1454270,6725475,867396247,867-39-6247,6618060,5627353,3520032
1454271,6725474,347863369,347-86-3369,6453847,5627354,3520033
1454272,6725473,516469846,516-46-9846,6452714,5627355,3520034
1454273,6725472,123785681,123-78-5681,6618941,5627356,3520035
1454274,6725471,667526406,667-52-6406,6618825,5627357,3520036
1454275,6725470,624638604,624-63-8604,6618231,5627358,3520037
1454276,6725469,881732809,881-73-2809,6617961,5627359,3520038
1454277,6725468,817083705,817-08-3705,6619445,5627360,3520039
1454278,6725467,479555222,479-55-5222,6619428,5627361,3520040
1454279,6725466,876999315,876-99-9315,6452761,5627362,3520041
1454280,6725465,164283916,164-28-3916,6453553,5627363,3520042
1454281,6725464,197965904,197-96-5904,6452858,5627364,3520043
1454282,6725463,669621418,669-62-1418,6619627,5627365,3520044
1454283,6725462,681193852,681-19-3852,6452913,5627366,3520045
1454284,6725461,544439120,544-43-9120,6452675,5627367,3520046
1454285,6725460,198964686,198-96-4686,6619139,5627368,3520047
1454286,6725459,552240595,552-24-0595,6452840,5627369,3520048
1454287,6725458,742315691,742-31-5691,6618533,5627370,3520049
1454288,6725457,946930041,946-93-0041,6618105,5627371,3520050
1454289,6725456,347255719,347-25-5719,6618082,5627372,3520051
1454290,6725455,477463779,477-46-3779,6618670,5627373,3520052
1454291,6725454,343024304,343-02-4304,6452711,5627374,3520053
1454292,6725453,338652046,338-65-2046,6619354,5627375,3520054
1454293,6725452,667592350,667-59-2350,6618106,5627376,3520055
1454294,6725451,938141941,938-14-1941,6618156,5627377,3520056
1454295,6725450,763065349,763-06-5349,6618421,5627378,3520057
1454296,6725449,813151499,813-15-1499,6618316,5627379,3520058
1454297,6725448,516198248,516-19-8248,6618131,5627380,3520059
1454298,6725447,897033668,897-03-3668,6452886,5627381,3520060
1454299,6725446,253553929,253-55-3929,6620499,5627382,3520061
1454300,6725445,752059693,752-05-9693,6618135,5627383,3520062
1454301,6725444,669766209,669-76-6209,6453975,5627384,3520063
1454302,6725443,497824777,497-82-4777,6453121,5627385,3520064
1454303,6725442,998161548,998-16-1548,6452991,5627386,3520065
1454304,6725441,413803446,413-80-3446,6619941,5627387,3520066
1454305,6725440,934846598,934-84-6598,6618052,5627388,3520067
1454306,6725439,724547597,724-54-7597,6620488,5627389,3520068
1454307,6725438,958229882,958-22-9882,6452811,5627390,3520069
1454308,6725437,214001074,214-00-1074,6618299,5627391,3520070
1454309,6725436,719559591,719-55-9591,6452916,5627392,3520071
1454310,6725435,269131586,269-13-1586,6617924,5627393,3520072
1454311,6725434,476443949,476-44-3949,6604855,5627394,3520073
1454312,6725433,333524338,333-52-4338,6618149,5627395,3520074
1454313,6725432,175916491,175-91-6491,6618564,5627396,3520075
1454314,6725431,165095637,165-09-5637,6618012,5627397,3520076
1454315,6725430,959549631,959-54-9631,6618324,5627398,3520077
1454316,6725429,662399927,662-39-9927,6618277,5627399,3520078
1454317,6725428,942681872,942-68-1872,6618243,5627400,3520079
1454318,6725427,846584110,846-58-4110,6452921,5627401,3520080
1454319,6725426,299926689,299-92-6689,6453144,5627402,3520081
1454320,6725425,519639588,519-63-9588,6617968,5627403,3520082
1454321,6725424,874852683,874-85-2683,6453258,5627404,3520083
1454322,6725423,786672358,786-67-2358,6452922,5627405,3520084
1454323,6725422,845209869,845-20-9869,6618742,5627406,3520085
1454324,6725421,683620979,683-62-0979,6453668,5627407,3520086
1454325,6725420,789175329,789-17-5329,6604816,5627408,3520087
1454326,6725419,135108968,135-10-8968,6619143,5627409,3520088
1454327,6725418,659191539,659-19-1539,6618663,5627410,3520089
1454328,6725417,396321630,396-32-1630,6452919,5627411,3520090
1454329,6725416,578598237,578-59-8237,6619482,5627412,3520091
1454330,6725415,439431693,439-43-1693,6452760,5627413,3520092
1454331,6725414,745222366,745-22-2366,6618144,5627414,3520093
1454332,6725413,671548087,671-54-8087,6618062,5627415,3520094
1454333,6725412,378891960,378-89-1960,6452868,5627416,3520095
1454334,6725411,222412577,222-41-2577,6604859,5627417,3520096
1454335,6725410,315333664,315-33-3664,6452828,5627418,3520097
1454336,6725409,265422548,265-42-2548,6618397,5627419,3520098
1454337,6725408,323828384,323-82-8384,6617973,5627420,3520099
1454338,6725407,543798131,543-79-8131,6618109,5627421,3520100
1454339,6725406,255123096,255-12-3096,6618445,5627422,3520101
1454340,6725405,262587039,262-58-7039,6453089,5627423,3520102
1454341,6725404,956403739,956-40-3739,6452677,5627424,3520103
1454342,6725403,361782138,361-78-2138,6618298,5627425,3520104
1454343,6725402,183501022,183-50-1022,6453012,5627426,3520105
1454344,6725401,133799023,133-79-9023,6619447,5627427,3520106
1454345,6725400,273269587,273-26-9587,6617959,5627428,3520107
1454346,6725399,731010690,731-01-0690,6453150,5627429,3520108
1454347,6725398,219617229,219-61-7229,6618253,5627430,3520109
1454348,6725397,529024750,529-02-4750,6604848,5627431,3520110
1454349,6725396,851564362,851-56-4362,6452918,5627432,3520111
1454350,6725395,396680442,396-68-0442,6619037,5627433,3520112
1454351,6725394,278746841,278-74-6841,6604831,5627434,3520113
1454352,6725393,544918812,544-91-8812,6453018,5627435,3520114
1454353,6725392,337256715,337-25-6715,6452684,5627436,3520115
1454354,6725391,231911328,231-91-1328,6618126,5627437,3520116
1454355,6725390,429758614,429-75-8614,6622992,5627438,3520117
1454356,6725389,477502471,477-50-2471,6452853,5627439,3520118
1454357,6725388,315216998,315-21-6998,6453306,5627440,3520119
1454358,6725387,689184024,689-18-4024,6618020,5627441,3520120
1454359,6725386,213754888,213-75-4888,6618025,5627442,3520121
1454360,6725385,811283498,811-28-3498,6617941,5627443,3520122
1454361,6725384,223078782,223-07-8782,6453363,5627444,3520123
1454362,6725383,826595089,826-59-5089,6621329,5627445,3520124
1454363,6725382,288722935,288-72-2935,6619998,5627446,3520125
1454364,6725381,583785002,583-78-5002,6454150,5627447,3520126
1454365,6725380,793185992,793-18-5992,6452933,5627448,3520127
1454366,6725379,844305466,844-30-5466,6453082,5627449,3520128
1454367,6725378,684423861,684-42-3861,6453701,5627450,3520129
1454368,6725377,353117846,353-11-7846,6453427,5627451,3520130
1454369,6725376,576651642,576-65-1642,6604797,5627452,3520131
1454370,6725375,647549243,647-54-9243,6618206,5627453,3520132
1454371,6725374,975430378,975-43-0378,6618270,5627454,3520133
1454372,6725373,371384273,371-38-4273,6452745,5627455,3520134
1454373,6725372,283146499,283-14-6499,6617926,5627456,3520135
1454374,6725371,692904622,692-90-4622,6618006,5627457,3520136
1454375,6725370,468186509,468-18-6509,6620589,5627458,3520137
1454376,6725369,174727975,174-72-7975,6618661,5627459,3520138
1454377,6725368,388889588,388-88-9588,6617983,5627460,3520139
1454378,6725367,418779538,418-77-9538,6452652,5627461,3520140
1454379,6725366,266406028,266-40-6028,6618598,5627462,3520141
1454380,6725365,572316030,572-31-6030,6618241,5627463,3520142
1454381,6725364,269987957,269-98-7957,6617954,5627464,3520143
1454382,6725363,321381578,321-38-1578,6604835,5627465,3520144
1454383,6725362,374425765,374-42-5765,6618250,5627466,3520145
1454384,6725361,348763962,348-76-3962,6619834,5627467,3520146
1454385,6725360,491569149,491-56-9149,6618115,5627468,3520147
1454386,6725359,713944535,713-94-4535,6452791,5627469,3520148
1454387,6725358,171831514,171-83-1514,6619681,5627470,3520149
1454388,6725357,926158661,926-15-8661,6618707,5627471,3520150
1454389,6725356,694363330,694-36-3330,6452656,5627472,3520151
1454390,6725355,675662040,675-66-2040,6452879,5627473,3520152
1454391,6725354,833403759,833-40-3759,6619907,5627474,3520153
1454392,6725353,164381609,164-38-1609,6618691,5627475,3520154
1454393,6725352,483145747,483-14-5747,6620347,5627476,3520155
1454394,6725351,217286924,217-28-6924,6618300,5627477,3520156
1454395,6725350,234271434,234-27-1434,6604800,5627478,3520157
1454396,6725349,275351715,275-35-1715,6618587,5627479,3520158
1454397,6725348,213055818,213-05-5818,6618964,5627480,3520159
1454398,6725347,779768346,779-76-8346,6618078,5627481,3520160
1454399,6725346,263846828,263-84-6828,6618385,5627482,3520161
1454400,6725345,156817642,156-81-7642,6452902,5627483,3520162
1454401,6725344,756810546,756-81-0546,6452792,5627484,3520163
1454402,6725343,788009395,788-00-9395,6618330,5627485,3520164
1454403,6725342,297845401,297-84-5401,6452758,5627486,3520165
1454404,6725341,548535988,548-53-5988,6618065,5627487,3520166
1454405,6725340,563565882,563-56-5882,6618232,5627488,3520167
1454406,6725339,894722101,894-72-2101,6452784,5627489,3520168
1454407,6725338,179593049,179-59-3049,6604743,5627490,3520169
1454408,6725337,727165354,727-16-5354,6618994,5627491,3520170
1454409,6725336,727592688,727-59-2688,6618800,5627492,3520171
1454410,6725335,345070015,345-07-0015,6452686,5627493,3520172
1454411,6725334,169695239,169-69-5239,6618782,5627494,3520173
1454412,6725333,144654190,144-65-4190,6619021,5627495,3520174
1454413,6725332,862825360,862-82-5360,6617994,5627496,3520175
1454414,6725331,131848314,131-84-8314,6619845,5627497,3520176
1454415,6725330,736198302,736-19-8302,6618021,5627498,3520177
1454416,6725329,336404981,336-40-4981,6617953,5627499,3520178
1454417,6725328,319457003,319-45-7003,6452763,5627500,3520179
1454418,6725327,463694160,463-69-4160,6453210,5627501,3520180
1454419,6725326,177752415,177-75-2415,6618439,5627502,3520181
1454420,6725325,422443690,422-44-3690,6621227,5627503,3520182
1454421,6725324,653677435,653-67-7435,6618686,5627504,3520183
1454422,6725323,658581293,658-58-1293,6619075,5627505,3520184
1454423,6725322,833221512,833-22-1512,6618136,5627506,3520185
1454424,6725321,369871780,369-87-1780,6453040,5627507,3520186
1454425,6725320,653038759,653-03-8759,6452947,5627508,3520187
1454426,6725319,687695985,687-69-5985,6618545,5627509,3520188
1454427,6725318,751729713,751-72-9713,6618734,5627510,3520189
1454428,6725317,826306913,826-30-6913,6453343,5627511,3520190
1454429,6725316,616831205,616-83-1205,6618255,5627512,3520191
1454430,6725315,659384421,659-38-4421,6619581,5627513,3520192
1454431,6725314,755181286,755-18-1286,6618099,5627514,3520193
1454432,6725313,298888622,298-88-8622,6618145,5627515,3520194
1454433,6725312,525821539,525-82-1539,6452896,5627516,3520195
1454434,6725311,179851380,179-85-1380,6619345,5627517,3520196
1454435,6725310,629182028,629-18-2028,6618190,5627518,3520197
1454436,6725309,872815930,872-81-5930,6452870,5627519,3520198
1454437,6725308,616410137,616-41-0137,6604751,5627520,3520199
1454438,6725307,345968476,345-96-8476,6619351,5627521,3520200
1454439,6725306,176085221,176-08-5221,6617943,5627522,3520201
1454440,6725305,419504486,419-50-4486,6618400,5627523,3520202
1454441,6725304,453444826,453-44-4826,6618409,5627524,3520203
1454442,6725303,616103372,616-10-3372,6619043,5627525,3520204
1454443,6725302,731818134,731-81-8134,6452715,5627526,3520205
1454444,6725301,457639189,457-63-9189,6618204,5627527,3520206
1454445,6725300,431721111,431-72-1111,6618414,5627528,3520207
1454446,6725299,655149791,655-14-9791,6619330,5627529,3520208
1454447,6725298,621817435,621-81-7435,6617945,5627530,3520209
1454448,6725297,595095346,595-09-5346,6618342,5627531,3520210
1454449,6725296,114023893,114-02-3893,6618384,5627532,3520211
1454450,6725295,878819375,878-81-9375,6604794,5627533,3520212
1454451,6725294,917648011,917-64-8011,6618259,5627534,3520213
1454452,6725293,184949640,184-94-9640,6452949,5627535,3520214
1454453,6725292,856657791,856-65-7791,6619613,5627536,3520215
1454454,6725291,663743113,663-74-3113,6453205,5627537,3520216
1454455,6725290,458696586,458-69-6586,6619328,5627538,3520217
1454456,6725289,396469460,396-46-9460,6453056,5627539,3520218
1454457,6725288,646641626,646-64-1626,6618166,5627540,3520219
1454458,6725287,615501420,615-50-1420,6619271,5627541,3520220
1454459,6725286,169120792,169-12-0792,6453704,5627542,3520221
1454460,6725285,658580267,658-58-0267,6604699,5627543,3520222
1454461,6725284,378528521,378-52-8521,6452655,5627544,3520223
1454462,6725283,273699423,273-69-9423,6604766,5627545,3520224
1454463,6725282,324987344,324-98-7344,6619107,5627546,3520225
1454464,6725281,133412841,133-41-2841,6618366,5627547,3520226
1454465,6725280,194056725,194-05-6725,6453448,5627548,3520227
1454466,6725279,776925200,776-92-5200,6604670,5627549,3520228
1454467,6725278,798414929,798-41-4929,6453358,5627550,3520229
1454468,6725277,499650257,499-65-0257,6618794,5627551,3520230
1454469,6725276,915285270,915-28-5270,6618771,5627552,3520231
1454470,6725275,624438092,624-43-8092,6453117,5627553,3520232
1454471,6725274,428882768,428-88-2768,6619324,5627554,3520233
1454472,6725273,913987693,913-98-7693,6452769,5627555,3520234
1454473,6725272,238533384,238-53-3384,6604666,5627556,3520235
1454474,6725271,492452556,492-45-2556,6618013,5627557,3520236
1454475,6725270,379643249,379-64-3249,6618098,5627558,3520237
1454476,6725269,341888502,341-88-8502,6453184,5627559,3520238
1454477,6725268,845899269,845-89-9269,6619625,5627560,3520239
1454478,6725267,563838435,563-83-8435,6604745,5627561,3520240
1454479,6725266,633627130,633-62-7130,6618092,5627562,3520241
1454480,6725265,349506424,349-50-6424,6619886,5627563,3520242
1454481,6725264,654291922,654-29-1922,6617955,5627564,3520243
1454482,6725263,548589095,548-58-9095,6619747,5627565,3520244
1454483,6725262,511714279,511-71-4279,6619409,5627566,3520245
1454484,6725261,671126633,671-12-6633,6452824,5627567,3520246
1454485,6725260,826231825,826-23-1825,6618364,5627568,3520247
1454486,6725259,471934704,471-93-4704,6618528,5627569,3520248
1454487,6725258,525531325,525-53-1325,6604832,5627570,3520249
1454488,6725257,988421572,988-42-1572,6618067,5627571,3520250
1454489,6725256,194983241,194-98-3241,6618541,5627572,3520251
1454490,6725255,621001671,621-00-1671,6604807,5627573,3520252
1454491,6725254,224556657,224-55-6657,6618237,5627574,3520253
1454492,6725253,889536203,889-53-6203,6619012,5627575,3520254
1454493,6725252,337394872,337-39-4872,6618425,5627576,3520255
1454494,6725251,344990609,344-99-0609,6604739,5627577,3520256
1454495,6725250,149613706,149-61-3706,6452654,5627578,3520257
1454496,6725249,168296963,168-29-6963,6604662,5627579,3520258
1454497,6725248,137638119,137-63-8119,6604840,5627580,3520259
1454498,6725247,694855479,694-85-5479,6604792,5627581,3520260
1454499,6725246,793742006,793-74-2006,6617977,5627582,3520261
1454500,6725245,239613039,239-61-3039,6453065,5627583,3520262
1454501,6725244,666932756,666-93-2756,6452993,5627584,3520263
1454502,6725243,787716899,787-71-6899,6618292,5627585,3520264
1454503,6725242,425244226,425-24-4226,6452671,5627586,3520265
1454504,6725241,622971905,622-97-1905,6452682,5627587,3520266
1454505,6725240,394352897,394-35-2897,6618265,5627588,3520267
1454506,6725239,532680623,532-68-0623,6618700,5627589,3520268
1454507,6725238,589594395,589-59-4395,6618885,5627590,3520269
1454508,6725237,469437214,469-43-7214,6617951,5627591,3520270
1454509,6725236,764677456,764-67-7456,6452892,5627592,3520271
1454510,6725235,576124662,576-12-4662,6618191,5627593,3520272
1454511,6725234,528757676,528-75-7676,6620009,5627594,3520273
1454512,6725233,876718757,876-71-8757,6604779,5627595,3520274
